Selection,,Token Tagging(Python),,,,Code Search,,,Defect Detection,,,Clone Detection,,
,,CB,GCB,CGPA,UC,CB,GCB,UC,CB,GCB,UC,CB,GCB,UC
Oracle,# of neurons,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984
,Score,91.46%,89.29%,83.58%,96.01%,54.14%,46.52%,50.99%,64.02%,63.87%,66.80%,0.805,0.805,0.828
CC,Clustering threshold,0.5,NA,0.7,0.4,0.9,0.5,0.8,0.7,0.7,0.2,0.6,0.4,0.8
,# of neurons,3229,9984,644,3406,768,1454,768,1742,2555,8890,2264,6124,901
,Score,94.93%,98.21%,98.80%,99.03%,55.46%,53.48%,52.32%,65.52%,64.35%,67.02%,0.822,0.801,0.805
,Diff.,3.47%,8.92%,15.22%,3.02%,1.32%,6.96%,1.33%,1.50%,0.48%,0.22%,0.017,-0.004,-0.023
,Neuron reduction,67.66%,0.00%,93.55%,65.89%,92.31%,85.44%,92.31%,82.55%,74.41%,10.96%,77.32%,38.66%,90.98%
"LS+
CC+
LCA",Layer Selection,0-1,0-0,0-1,0-0,0-1,0-1,0-1,0-11,0-12,0-12,0-7,0-11,0-12
,Performance delta,2-1,3-1,3-1,3-1,3-1,1-1,2-1,2-1,1-1,2-1,2-1,3-1,3-1
,Clustering threshold,NA,NA,NA,0.3,0.9,0.1,0.1,NA,0.3,0.1,0.4,NA,NA
,# of neurons,29,49,9,199,399,399,499,99,399,29,19,19,99
,Score,94.18%,89.59%,87%,99.03%,53.81%,53.31%,52.32%,65.15%,63.65%,65.56%,0.798,0.814,0.831
,Diff.,2.72%,0.30%,3.42%,3.02%,-0.33%,6.79%,1.33%,1.13%,-0.22%,-1.24%,-0.007,0.009,0.003
,Neuron reduction,99.71%,99.51%,99.91%,98.01%,96.00%,96.00%,95.00%,99.01%,96.00%,99.71%,99.81%,99.81%,99.01%
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
