Selection,,BERT,CB,CGJ,CGJA,CGP,CGPA,GPT2,GCB,JB,RBa,UC
Oracle,original # of neurons,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984,9984
,Baseline accuracy,61.46%,64.02%,61.27%,51.39%,63.58%,59.26%,59.04%,63.87%,57.28%,48.39%,66.80%
LCA,# of neurons,29,79,9,29,79,19,49,489,39,9,29
,Accuracy,61.57%,64.24%,58.82%,60.81%,61.60%,61.10%,65.74%,62.59%,57.06%,56.96%,65.30%
,Diff.,0.11%,0.22%,-2.45%,9.42%,-1.98%,1.84%,6.70%,-1.28%,-0.22%,8.57%,-1.50%
,Neuron reduction,99.71%,99.21%,99.91%,99.71%,99.21%,99.81%,99.51%,95.10%,99.61%,99.91%,99.71%
Probeless,# of neurons,9,9,6988,9,3993,29,9,19,9,9,9
,Accuracy,62.37%,64.86%,62.63%,64.68%,62.41%,56.66%,66.40%,62.74%,57.58%,55.89%,64.82%
,Diff.,0.91%,0.84%,1.36%,13.29%,-1.17%,-2.60%,7.36%,-1.13%,0.30%,7.50%,-1.98%
,Neuron reduction,99.91%,99.91%,30.01%,99.91%,60.01%,99.71%,99.91%,99.81%,99.91%,99.91%,99.91%
CC,Clustering threshold,0.5,0.7,0.6,0.8,0.6,0.6,0.8,0.7,0.7,0.5,0.2
,# of neurons,2600,1742,1023,623,1023,1283,466,2555,843,1977,8890
,Accuracy,62.96%,65.52%,62.59%,64.13%,62.59%,64.17%,65.85%,64.35%,58.42%,57.50%,67.02%
,Diff.,1.50%,1.50%,1.32%,12.74%,-0.99%,4.91%,6.81%,0.48%,1.14%,9.11%,0.22%
,Neuron reduction,73.96%,82.55%,89.75%,93.76%,89.75%,87.15%,95.33%,74.41%,91.56%,80.20%,10.96%
"Layerwise
(LS)",Layer Selection,0-12,0-12,0-10,0-2,0-12,0-10,0-12,0-12,0-5,0-5,0-12
,# of neurons,9984,9984,8448,2304,9984,8448,9984,9984,4608,4608,9984
,Accuracy,61.46%,64.02%,62.11%,57.69%,63.58%,61.60%,59.04%,63.87%,57.91%,57.28%,66.80%
,Diff.,0.00%,0.00%,0.84%,6.30%,0.00%,2.34%,0.00%,0.00%,0.63%,8.89%,0.00%
,Neuron reduction,0.00%,0.00%,15.38%,76.92%,0.00%,15.38%,0.00%,0.00%,53.85%,53.85%,0.00%
LS+CC+LCA,Layer Selection,0-11,0-11,0-12,0-0,0-12,0-8,0-12,0-12,0-3,0-0,0-12
,Clustering threshold,NA,NA,NA,0.9,NA,NA,NA,0.3,NA,NA,0.1
,# of neurons,29,99,99,5,199,199,39,399,99,9,29
,Accuracy,61.38%,65.15%,61.46%,56.77%,64.60%,61.13%,65.92%,63.65%,57.87%,56.55%,65.56%
,Diff.,-0.08%,1.13%,0.19%,5.38%,1.02%,1.87%,6.88%,-0.22%,0.59%,8.16%,-1.24%
,Neuron reduction,99.71%,99.01%,99.01%,99.95%,98.01%,98.01%,99.61%,96.00%,99.01%,99.91%,99.71%
