Selection,,BERT,CB,CBa,CGJ,CGJA,CGP,CGPA,GPT2,GCB,JB,RBa,UC
Oracle,original # of neurons,9984,9984,5376,9984,9984,9984,9984,9984,9984,9984,9984,9984
,Baseline accuracy,66.62%,77.89%,87.75%,79.02%,82.01%,72.99%,74.61%,87.60%,81.86%,82.11%,77.84%,80.05%
None,# of neurons,0,0,0,0,0,0,0,0,0,0,0,0
,Accuracy,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%,16.67%
LCA,# of neurons,259,59,118,289,778,419,888,2496,389,389,99,109
,Accuracy,70.25%,76.18%,86.91%,73.04%,87.94%,71.76%,72.75%,87.99%,83.92%,82.40%,79.75%,80.83%
,Diff.,3.63%,-1.71%,-0.84%,-5.98%,5.93%,-1.23%,-1.86%,0.39%,2.06%,0.29%,1.91%,0.78%
,Neuron reduction,97.41%,99.41%,97.81%,97.11%,92.21%,95.80%,91.11%,75.00%,96.10%,96.10%,99.01%,98.91%
Probeless,# of neurons,519,29,172,9984,389,549,239,758,79,339,219,229
,Accuracy,67.30%,76.47%,86.76%,86.71%,87.89%,71.52%,74.80%,86.67%,83.92%,81.96%,83.33%,83.73%
,Diff.,0.68%,-1.42%,-0.99%,7.69%,5.88%,-1.47%,0.19%,-0.93%,2.06%,-0.15%,5.49%,3.68%
,Neuron reduction,94.80%,99.71%,96.80%,0.00%,96.10%,94.50%,97.61%,92.41%,99.21%,96.60%,97.81%,97.71%
CC,Clustering threshold,0.6,0.3,0.5,0.2,0.6,0.4,0.4,0.6,0.6,0.7,0.7,NA
,# of neurons,763,5549,1187,2823,765,1552,1654,699,1712,421,559,9984
,Accuracy,74.66%,82.01%,89.61%,74.75%,86.91%,77.50%,75.15%,90.20%,84.85%,88.04%,82.75%,80.54%
,Diff.,8.04%,4.12%,1.86%,-4.27%,4.90%,4.51%,0.54%,2.60%,2.99%,5.93%,4.91%,0.49%
,Neuron reduction,92.36%,44.42%,77.92%,71.72%,92.34%,84.46%,83.43%,93.00%,82.85%,95.78%,94.40%,0.00%
"Layerwise
(LS)",Layer Selection,0-6,0-1,0-3,0-12,0-3,0-2,0-6,0-12,0-6,0-0,0-8,0-0
,Performance layer delta,1,3,1,3,1,1,2,2,1,3,3,3
,# of neurons,5376,1536,3072,9984,3072,2304,5376,9984,5376,768,6912,768
,Accuracy,66.18%,81.52%,86.91%,73.28%,82.06%,73.14%,74.12%,87.16%,81.13%,82.99%,78.92%,89.12%
,Diff.,-0.44%,3.63%,-0.84%,-5.74%,0.05%,0.15%,-0.49%,-0.44%,-0.73%,0.88%,1.08%,9.07%
,Neuron reduction,46.15%,84.62%,42.86%,0.00%,69.23%,76.92%,46.15%,0.00%,46.15%,92.31%,30.77%,92.31%
LS+CC+LCA,Layer Selection,0-6,0-1,0-0,0-12,0-2,0-2,0-1,0-12,0-1,0-0,0-8,0-0
,Performance delta,1-1,3-1,3-1,3-1,2-1,1-1,3-1,2-1,3-1,3-1,3-1,3-1
,Clustering threshold,NA,NA,0.3,NA,NA,0.3,0.3,0.3,0.3,NA,0.3,0.3
,# of neurons,199,199,107,299,99,1472,199,1497,399,199,199,39
,Accuracy,74.80%,87.70%,87.50%,76.27%,82.40%,78.14%,87.21%,87.65%,87.89%,85.69%,79.26%,89.71%
,Diff.,8.18%,9.81%,-0.25%,-2.75%,0.39%,5.15%,12.60%,0.05%,6.03%,3.58%,1.42%,9.66%
,Neuron reduction,98.01%,98.01%,98.01%,97.01%,99.01%,85.26%,98.01%,85.01%,96.00%,98.01%,98.01%,99.61%
